Phase,Task ID,작업명,상세 설명,산출물,예상 기간,담당,선행 작업,상태,우선순위
Phase 1: MVP,1.1.1,Supabase 프로젝트 생성,프로젝트 생성 및 환경변수 설정,.env 파일,0.5일,DevOps,-,대기,High
Phase 1: MVP,1.1.2,DB 스키마 생성,"users, exam_sessions, answers, scores 테이블",SQL 마이그레이션,1일,Backend,1.1.1,대기,High
Phase 1: MVP,1.1.3,Supabase Auth 설정,"Email 로그인, 소셜 로그인(선택)",Auth 설정 완료,0.5일,Backend,1.1.1,대기,High
Phase 1: MVP,1.1.4,FastAPI 프로젝트 초기화,"프로젝트 구조, Docker 설정",/backend 폴더,1일,Backend,-,대기,High
Phase 1: MVP,1.1.5,CI/CD 파이프라인,"GitHub Actions, 자동 배포",.github/workflows,0.5일,DevOps,1.1.4,대기,Medium
Phase 1: MVP,1.2.1,회원가입 API,"이메일 검증, 비밀번호 해시",POST /auth/register,1일,Backend,1.1.2,대기,High
Phase 1: MVP,1.2.2,로그인 API,"JWT 발급, Refresh Token",POST /auth/login,1일,Backend,1.1.3,대기,High
Phase 1: MVP,1.2.3,토큰 갱신 API,Access Token 재발급,POST /auth/refresh,0.5일,Backend,1.2.2,대기,High
Phase 1: MVP,1.2.4,프론트 AuthContext,Supabase Auth 연동,AuthContext.tsx,1일,Frontend,1.2.2,대기,High
Phase 1: MVP,1.2.5,로그인/회원가입 UI,Landing 페이지 수정,Landing.tsx 수정,0.5일,Frontend,1.2.4,대기,High
Phase 1: MVP,1.2.6,Protected Route,인증 필요 페이지 가드,ProtectedRoute.tsx,0.5일,Frontend,1.2.4,대기,High
Phase 1: MVP,1.3.1,세션 생성 API,사용자별 시험 세션 생성,POST /exams/sessions,1일,Backend,1.2.1,대기,High
Phase 1: MVP,1.3.2,문항 추출 API,역량별 랜덤 추출 로직,GET /exams/sessions/:id/questions,1일,Backend,1.3.1,대기,High
Phase 1: MVP,1.3.3,시험 시작 API,"시작 시간 기록, 상태 변경",POST /exams/sessions/:id/start,0.5일,Backend,1.3.1,대기,High
